Date,Open,High,Low,Close,Volume
02/09/2024,"104.10","104.84","101.70","101.77","20,410,510"
02/08/2024,"102.34","104.42","102.11","103.97","19,636,900"
02/07/2024,"102.25","102.73","101.18","102.22","13,826,830"
02/06/2024,"102.07","103.04","101.57","102.25","13,353,290"
02/05/2024,"101.45","102.38","100.50","101.55","17,190,891"
02/02/2024,"103.75","104.00","101.61","101.97","21,973,410"
02/01/2024,"103.57","104.01","101.62","102.39","19,240,689"
01/31/2024,"104.74","104.88","102.77","102.81","22,415,289"
01/30/2024,"102.41","104.88","102.10","104.85","19,610,930"
01/29/2024,"102.98","103.20","101.86","103.13","18,317,551"
01/26/2024,"101.97","103.08","101.19","103.00","20,817,240"
01/25/2024,"100.31","102.18","99.62","102.13","22,089,510"
01/24/2024,"98.32","99.65","97.74","99.60","17,330,650"
01/23/2024,"96.81","98.50","96.73","97.91","15,863,430"
01/22/2024,"96.70","97.10","95.77","96.82","19,955,949"
01/19/2024,"96.72","97.02","96.41","96.95","20,088,430"
01/18/2024,"97.00","97.09","95.82","96.80","20,940,279"
01/17/2024,"96.60","97.96","96.58","96.98","18,384,020"
01/16/2024,"99.82","100.01","97.53","97.69","20,235,699"
01/12/2024,"100.14","100.65","99.17","99.95","18,041,680"
01/11/2024,"99.04","99.50","98.56","98.67","15,833,360"
01/10/2024,"99.80","99.80","98.16","98.69","18,206,090"
01/09/2024,"101.29","101.29","99.19","99.67","19,496,650"
01/08/2024,"100.73","101.04","98.90","100.92","23,370,131"
01/05/2024,"103.17","103.40","102.13","102.63","15,827,390"
01/04/2024,"104.08","104.57","102.05","102.32","19,395,150"
01/03/2024,"102.27","103.62","101.66","103.22","23,490,779"
01/02/2024,"100.92","103.10","100.85","102.36","23,483,051"
12/29/2023,"100.37","100.59","99.62","99.98","17,746,410"
12/28/2023,"101.39","101.61","100.13","100.19","16,329,250"
12/27/2023,"102.04","102.55","101.34","101.66","14,558,830"
12/26/2023,"102.74","103.03","102.12","102.14","16,835,141"
12/22/2023,"102.31","102.94","101.82","101.91","12,927,830"
12/21/2023,"101.47","102.01","100.81","101.73","19,250,930"
12/20/2023,"103.50","103.94","101.13","101.27","20,988,859"
12/19/2023,"102.00","103.19","101.79","102.99","18,904,660"
12/18/2023,"102.13","103.11","101.52","101.65","21,610,430"
12/15/2023,"100.59","101.00","100.31","100.90","55,527,020"
12/14/2023,"99.85","102.14","99.72","101.58","26,165,650"
12/13/2023,"98.04","99.03","97.66","98.92","19,915,439"
12/12/2023,"98.68","98.68","97.48","98.05","26,083,961"
12/11/2023,"99.80","99.86","98.58","99.62","22,252,250"
12/08/2023,"99.02","99.79","98.75","99.55","22,074,949"
12/07/2023,"99.86","100.84","98.09","98.42","29,990,730"
12/06/2023,"100.00","100.72","98.34","99.11","31,154,789"
12/05/2023,"102.27","102.34","100.29","100.44","22,250,250"
12/04/2023,"102.13","103.36","101.59","102.43","21,523,939"
12/01/2023,"102.50","104.22","102.22","102.99","17,845,279"
11/30/2023,"103.11","104.48","101.81","102.74","29,254,689"
11/29/2023,"104.27","104.58","101.64","102.34","26,802,090"
11/28/2023,"104.24","104.91","103.88","103.90","20,629,510"
11/27/2023,"104.10","104.40","103.18","103.96","18,013,520"
11/24/2023,"104.02","105.47","103.91","104.57","9,480,768"
11/22/2023,"102.58","104.12","101.94","104.01","18,073,240"
11/21/2023,"104.21","104.70","103.22","104.46","14,988,980"
11/20/2023,"105.38","105.88","104.43","104.50","17,464,020"
11/17/2023,"103.06","105.43","102.75","104.96","22,991,820"
11/16/2023,"102.90","103.27","101.15","102.46","22,469,070"
11/15/2023,"103.96","105.15","103.50","103.66","20,137,561"
